sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-CN-A6UY-01A,HNSC,simu_bulk_2ds_ref,0.018,0.055,0.061,0.735,0.008,0.018,0,0.098,0,0.006,0
TCGA-CQ-6222-01A,HNSC,simu_bulk_2ds_ref,0,0.028,0.027,0.47,0,0.037,0.085,0.336,0,0.017,0
TCGA-MZ-A7D7-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0,0.96,0,0.002,0.001,0.029,0,0,0
TCGA-CQ-5329-01A,HNSC,simu_bulk_2ds_ref,0,0.015,0.01,0.66,0.001,0.03,0.126,0.156,0,0.002,0
TCGA-CV-5973-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0,0.931,0,0.003,0,0.056,0,0,0
TCGA-BA-5555-01A,HNSC,simu_bulk_2ds_ref,0.001,0.011,0.007,0.827,0.002,0.049,0.034,0.065,0,0.004,0
TCGA-UF-A7JS-01A,HNSC,simu_bulk_2ds_ref,0,0.026,0.002,0.795,0.01,0.022,0.02,0.101,0,0.024,0
TCGA-CV-A45Q-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.001,0.923,0,0.008,0.001,0.061,0,0.005,0
TCGA-QK-A6VC-01A,HNSC,simu_bulk_2ds_ref,0.013,0.05,0.024,0.711,0.003,0.036,0.044,0.113,0,0.003,0.003
TCGA-BA-A6DL-01A,HNSC,simu_bulk_2ds_ref,0.002,0.016,0.001,0.939,0.004,0.015,0.001,0.013,0,0.004,0.006
TCGA-CR-7365-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.767,0.001,0.03,0.132,0.066,0,0.003,0
TCGA-P3-A6SW-01A,HNSC,simu_bulk_2ds_ref,0.036,0.026,0.037,0.73,0.001,0.034,0.025,0.103,0.001,0.008,0
TCGA-HD-8314-01A,HNSC,simu_bulk_2ds_ref,0.001,0.032,0.007,0.608,0.006,0.046,0.103,0.19,0.001,0.005,0
TCGA-CN-4742-01A,HNSC,simu_bulk_2ds_ref,0,0.012,0,0.634,0.011,0.034,0.185,0.114,0,0.007,0.003
TCGA-IQ-A61H-01A,HNSC,simu_bulk_2ds_ref,0,0,0.001,0.768,0,0.049,0.102,0.075,0,0.004,0
TCGA-CX-7085-01A,HNSC,simu_bulk_2ds_ref,0.032,0.06,0.025,0.259,0.03,0.098,0.223,0.24,0.001,0.018,0.015
TCGA-CV-7235-01A,HNSC,simu_bulk_2ds_ref,0,0.023,0.026,0.559,0.001,0.073,0.16,0.139,0,0.018,0
TCGA-CV-7434-01A,HNSC,simu_bulk_2ds_ref,0,0,0.012,0.842,0,0.027,0.032,0.085,0,0.002,0
TCGA-CR-6480-01A,HNSC,simu_bulk_2ds_ref,0.009,0.023,0.013,0.85,0.01,0.035,0.001,0.044,0,0.011,0.005
TCGA-CR-7385-01A,HNSC,simu_bulk_2ds_ref,0.042,0.071,0.033,0.619,0.005,0.02,0.011,0.183,0,0.013,0.003
TCGA-T2-A6WZ-01A,HNSC,simu_bulk_2ds_ref,0.018,0.025,0.001,0.838,0.01,0.019,0.037,0.043,0,0.009,0
TCGA-CV-6436-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0.04,0.781,0,0.016,0.005,0.133,0,0.013,0
TCGA-UF-A7JA-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0,0.807,0,0.027,0.114,0.04,0,0.006,0.001
TCGA-CQ-A4CB-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0.001,0.695,0.001,0.055,0.115,0.105,0,0.005,0.006
TCGA-CX-7219-01A,HNSC,simu_bulk_2ds_ref,0,0.026,0.011,0.632,0.002,0.04,0.129,0.153,0,0.002,0.007
TCGA-IQ-A61G-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0,0.953,0,0.001,0,0.044,0,0,0
TCGA-CV-5434-01A,HNSC,simu_bulk_2ds_ref,0,0.025,0,0.553,0.004,0.061,0.187,0.164,0,0.006,0
TCGA-DQ-5625-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.076,0.597,0.003,0.042,0.088,0.176,0,0.017,0
TCGA-BB-A6UM-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0.047,0.864,0,0.019,0,0.059,0,0.005,0
TCGA-C9-A47Z-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0,0.895,0,0.023,0.019,0.049,0,0,0.007
TCGA-P3-A6T7-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.008,0.873,0,0.023,0.049,0.042,0,0.001,0.003
TCGA-CN-6998-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0.003,0.875,0,0.025,0.012,0.079,0,0,0
TCGA-MZ-A6I9-01A,HNSC,simu_bulk_2ds_ref,0.032,0.013,0,0.87,0.006,0.044,0.006,0.023,0,0.007,0
TCGA-F7-A50I-01A,HNSC,simu_bulk_2ds_ref,0,0.011,0.007,0.844,0,0.029,0.059,0.047,0,0.004,0
TCGA-T2-A6WX-01A,HNSC,simu_bulk_2ds_ref,0.001,0.001,0.095,0.712,0.001,0.023,0.001,0.165,0,0.002,0
TCGA-CN-4741-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0.013,0.814,0,0.029,0.042,0.08,0,0.006,0.006
TCGA-CV-6948-01A,HNSC,simu_bulk_2ds_ref,0.001,0.017,0.006,0.823,0.001,0.032,0.03,0.082,0,0.008,0
TCGA-QK-A64Z-01A,HNSC,simu_bulk_2ds_ref,0,0,0.004,0.874,0,0.019,0.046,0.048,0,0.008,0
TCGA-CQ-6228-01A,HNSC,simu_bulk_2ds_ref,0.007,0.005,0,0.839,0,0.022,0.073,0.054,0,0,0
TCGA-CN-6996-01A,HNSC,simu_bulk_2ds_ref,0.002,0.054,0.015,0.509,0.022,0.055,0.108,0.21,0,0.022,0.004
TCGA-CN-4737-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.649,0.005,0.043,0.179,0.108,0,0.004,0.006
TCGA-QK-A6V9-01A,HNSC,simu_bulk_2ds_ref,0.043,0.038,0.064,0.739,0.012,0.016,0.003,0.083,0,0.002,0
TCGA-DQ-7591-01A,HNSC,simu_bulk_2ds_ref,0.06,0.083,0.062,0.624,0.008,0.029,0.017,0.11,0,0.006,0
TCGA-CN-5358-01A,HNSC,simu_bulk_2ds_ref,0.04,0.061,0.036,0.244,0.025,0.092,0.23,0.242,0.004,0.016,0.01
TCGA-CV-6945-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.909,0,0.003,0.056,0.031,0,0,0
TCGA-CQ-6218-01A,HNSC,simu_bulk_2ds_ref,0,0.018,0.007,0.786,0.003,0.029,0.063,0.091,0,0.002,0
TCGA-CV-7413-01A,HNSC,simu_bulk_2ds_ref,0,0.024,0.002,0.678,0.001,0.021,0.125,0.14,0,0.009,0
TCGA-CR-7377-01A,HNSC,simu_bulk_2ds_ref,0.016,0.055,0.035,0.402,0.026,0.071,0.2,0.177,0.001,0.017,0
TCGA-D6-6823-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0,0.884,0.005,0.028,0.035,0.03,0,0.003,0.008
TCGA-CV-7253-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.978,0,0.01,0.007,0.005,0,0,0
TCGA-CV-6942-01A,HNSC,simu_bulk_2ds_ref,0.043,0.025,0.052,0.489,0.006,0.075,0.111,0.179,0.001,0.018,0.001
TCGA-BA-A6DA-01A,HNSC,simu_bulk_2ds_ref,0,0.01,0.003,0.877,0,0.01,0.014,0.078,0,0.008,0
TCGA-MT-A67D-01A,HNSC,simu_bulk_2ds_ref,0.021,0.025,0.003,0.724,0.01,0.039,0.084,0.083,0,0.005,0.006
TCGA-CQ-5323-01A,HNSC,simu_bulk_2ds_ref,0.014,0.021,0.016,0.793,0.001,0.041,0.032,0.066,0,0.01,0.006
TCGA-CR-7390-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0,0.802,0,0.038,0.096,0.047,0,0,0.011
TCGA-UF-A7JK-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.945,0,0.019,0.033,0.004,0,0,0
TCGA-CV-A45Y-01A,HNSC,simu_bulk_2ds_ref,0.038,0.042,0.015,0.518,0.004,0.039,0.176,0.152,0.001,0.015,0
TCGA-P3-A6T0-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.872,0,0.017,0.075,0.035,0,0.001,0.001
TCGA-CN-4740-01A,HNSC,simu_bulk_2ds_ref,0,0.018,0.012,0.366,0.002,0.056,0.264,0.27,0,0.011,0.001
TCGA-CN-5370-01A,HNSC,simu_bulk_2ds_ref,0,0.027,0.013,0.454,0.007,0.052,0.192,0.242,0,0.009,0.003
TCGA-CN-6024-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.821,0,0.021,0.137,0.02,0,0,0
TCGA-CR-7397-01A,HNSC,simu_bulk_2ds_ref,0,0.036,0,0.5,0.003,0.056,0.275,0.127,0,0.002,0
TCGA-QK-AA3J-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0.003,0.885,0.001,0.047,0.017,0.013,0,0.015,0.002
TCGA-BA-A6DI-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0,0.933,0,0.036,0.007,0.018,0,0,0.001
TCGA-CV-5443-01A,HNSC,simu_bulk_2ds_ref,0.041,0.033,0.046,0.565,0.017,0.03,0.088,0.16,0,0.015,0.004
TCGA-P3-A5Q5-01A,HNSC,simu_bulk_2ds_ref,0.025,0.053,0.096,0.429,0.008,0.013,0.003,0.372,0,0.001,0
TCGA-CN-A498-01A,HNSC,simu_bulk_2ds_ref,0.003,0.011,0.007,0.872,0.004,0.018,0.016,0.063,0,0.006,0.001
TCGA-CX-7082-01A,HNSC,simu_bulk_2ds_ref,0,0,0.008,0.816,0,0.031,0.076,0.065,0,0.004,0
TCGA-CV-7432-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.925,0,0.019,0.014,0.04,0,0,0
TCGA-CV-7248-01A,HNSC,simu_bulk_2ds_ref,0.04,0.022,0.009,0.653,0.011,0.078,0.088,0.087,0,0.013,0
TCGA-KU-A66T-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.965,0,0.008,0.013,0.013,0,0,0.001
TCGA-P3-A5Q6-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0,0.806,0,0.016,0.115,0.055,0,0,0
TCGA-CN-5374-01A,HNSC,simu_bulk_2ds_ref,0.064,0.078,0.032,0.667,0.01,0.027,0.025,0.081,0,0.016,0
TCGA-CQ-A4CI-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.832,0,0.037,0.108,0.022,0,0.001,0.001
TCGA-BB-4224-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.869,0,0.017,0.019,0.092,0,0,0.001
TCGA-CN-6997-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0,0.838,0,0.032,0.079,0.045,0,0.002,0
TCGA-CV-7101-01A,HNSC,simu_bulk_2ds_ref,0.026,0.013,0.005,0.716,0.009,0.044,0.049,0.129,0,0.009,0
TCGA-CV-6937-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.821,0,0.012,0.087,0.071,0,0.001,0
TCGA-CQ-5326-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.001,0.778,0,0.017,0.048,0.141,0,0.005,0.006
TCGA-P3-A6SX-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.891,0,0.019,0.081,0.007,0,0,0
TCGA-D6-A6EQ-01A,HNSC,simu_bulk_2ds_ref,0,0.026,0.004,0.752,0.002,0.027,0.071,0.106,0,0.012,0
TCGA-CN-6995-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0.042,0.751,0,0.021,0.024,0.15,0,0.002,0
TCGA-D6-A6EO-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.892,0.002,0.051,0.034,0.008,0,0.003,0.005
TCGA-KU-A6H8-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0.029,0.599,0.005,0.064,0.201,0.067,0,0.018,0
TCGA-CN-6010-01A,HNSC,simu_bulk_2ds_ref,0.017,0.008,0.006,0.782,0.008,0.05,0.059,0.058,0.002,0.009,0
TCGA-BA-A8YP-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.69,0,0.041,0.193,0.068,0,0,0
TCGA-CV-6936-01A,HNSC,simu_bulk_2ds_ref,0,0,0.036,0.803,0,0.024,0.036,0.099,0,0.001,0.001
TCGA-D6-A4ZB-01A,HNSC,simu_bulk_2ds_ref,0.01,0.013,0,0.806,0.003,0.03,0.069,0.046,0,0.011,0.011
TCGA-QK-A6IG-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0.019,0.838,0.001,0.021,0.043,0.061,0,0.007,0.001
TCGA-UF-A7JD-01A,HNSC,simu_bulk_2ds_ref,0.003,0.009,0,0.597,0.003,0.042,0.294,0.045,0.001,0.004,0.004
TCGA-QK-A6IJ-01A,HNSC,simu_bulk_2ds_ref,0,0.025,0,0.862,0.006,0.012,0,0.086,0,0.009,0
TCGA-HD-8635-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0.008,0.757,0,0.032,0.097,0.08,0,0.011,0.005
TCGA-CV-7250-01A,HNSC,simu_bulk_2ds_ref,0,0.012,0.006,0.882,0,0.021,0.009,0.059,0,0.006,0.004
TCGA-CR-6487-01A,HNSC,simu_bulk_2ds_ref,0.096,0.054,0.16,0.361,0.032,0.041,0.05,0.193,0.004,0.01,0
TCGA-CN-6018-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0.016,0.58,0.003,0.058,0.139,0.178,0,0.006,0.004
TCGA-CR-6484-01A,HNSC,simu_bulk_2ds_ref,0.02,0.035,0.021,0.424,0.011,0.056,0.118,0.304,0,0.01,0.002
TCGA-CR-7382-01A,HNSC,simu_bulk_2ds_ref,0,0.034,0.019,0.322,0.039,0.11,0.24,0.201,0.001,0.021,0.013
TCGA-CN-4726-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0,0.702,0,0.023,0.126,0.141,0,0,0.002
TCGA-BB-A5HY-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0,0.918,0,0.013,0.045,0.015,0,0,0
TCGA-CV-A45R-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0.001,0.681,0,0.04,0.109,0.13,0,0.02,0.001
TCGA-P3-A6T4-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.861,0,0.026,0.046,0.044,0,0,0.008
TCGA-CV-6962-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.901,0,0.035,0.035,0.029,0,0,0
TCGA-MT-A51W-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0.014,0.874,0.002,0.023,0.015,0.056,0,0.008,0.004
TCGA-CQ-7068-01A,HNSC,simu_bulk_2ds_ref,0,0.021,0.077,0.702,0.002,0.016,0.004,0.176,0,0.002,0
TCGA-4P-AA8J-01A,HNSC,simu_bulk_2ds_ref,0.003,0.025,0.001,0.619,0.007,0.037,0.207,0.089,0,0.013,0
TCGA-CV-A45P-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0,0.887,0,0.037,0.02,0.033,0,0.003,0.006
TCGA-CV-7429-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.013,0.682,0.004,0.049,0.129,0.114,0,0.005,0
TCGA-HD-A633-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.89,0,0.024,0.032,0.054,0,0.001,0
TCGA-DQ-5631-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0,0.823,0,0.042,0.099,0.032,0,0,0.001
TCGA-CV-5436-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.011,0.808,0,0.025,0.104,0.049,0,0,0
TCGA-DQ-5630-01A,HNSC,simu_bulk_2ds_ref,0,0.012,0.029,0.556,0.001,0.032,0.16,0.185,0,0.026,0
TCGA-CR-6482-01A,HNSC,simu_bulk_2ds_ref,0.12,0.093,0.024,0.424,0.021,0.063,0.093,0.155,0.001,0.006,0
TCGA-P3-A6T6-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0,0.955,0,0.034,0.002,0.005,0,0,0
TCGA-DQ-7592-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0.008,0.774,0.004,0.03,0.099,0.069,0,0.007,0.002
TCGA-BA-A4II-01A,HNSC,simu_bulk_2ds_ref,0.001,0.027,0.006,0.769,0,0.039,0.064,0.085,0,0.001,0.008
TCGA-HL-7533-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.047,0.832,0,0.011,0.014,0.092,0,0.001,0
TCGA-CV-7435-01A,HNSC,simu_bulk_2ds_ref,0,0.019,0.003,0.544,0.006,0.04,0.244,0.14,0,0.004,0
TCGA-CV-7446-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0.012,0.745,0.001,0.056,0.102,0.072,0.001,0.003,0.001
TCGA-BA-6870-01A,HNSC,simu_bulk_2ds_ref,0.045,0.037,0,0.742,0.01,0.06,0.039,0.049,0.001,0.017,0
TCGA-MZ-A5BI-01A,HNSC,simu_bulk_2ds_ref,0.066,0.093,0.021,0.527,0.042,0.038,0.029,0.167,0,0.015,0.001
TCGA-CQ-A4CE-01A,HNSC,simu_bulk_2ds_ref,0,0.029,0.013,0.806,0.001,0.049,0.017,0.072,0,0.003,0.01
TCGA-CV-A460-01A,HNSC,simu_bulk_2ds_ref,0.019,0.06,0.012,0.605,0.015,0.04,0.095,0.139,0,0.016,0
TCGA-CV-7104-01A,HNSC,simu_bulk_2ds_ref,0,0.024,0.003,0.64,0.011,0.029,0.126,0.155,0,0.01,0
TCGA-UF-A7JF-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0,0.856,0.006,0.009,0.01,0.104,0,0.01,0
TCGA-HD-7753-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.005,0.76,0.002,0.028,0.105,0.07,0,0.006,0.002
TCGA-F7-A61S-01A,HNSC,simu_bulk_2ds_ref,0,0.024,0.027,0.831,0.001,0.021,0.002,0.088,0,0.005,0
TCGA-CQ-A4C9-01A,HNSC,simu_bulk_2ds_ref,0.001,0.007,0,0.806,0,0.053,0.075,0.054,0,0.001,0.002
TCGA-CQ-A4CA-01A,HNSC,simu_bulk_2ds_ref,0,0.011,0.032,0.582,0.014,0.051,0.12,0.169,0,0.021,0
TCGA-IQ-A61O-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0,0.291,0.001,0.041,0.524,0.142,0,0.001,0
TCGA-CQ-A4CD-01A,HNSC,simu_bulk_2ds_ref,0,0.015,0.011,0.821,0,0.025,0.025,0.097,0,0.005,0
TCGA-CN-A499-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0.05,0.757,0.004,0.027,0.013,0.118,0,0.008,0.005
TCGA-CN-6013-01A,HNSC,simu_bulk_2ds_ref,0.001,0.044,0.04,0.504,0.001,0.04,0.033,0.315,0,0.021,0.001
TCGA-CN-5356-01A,HNSC,simu_bulk_2ds_ref,0.014,0.019,0.003,0.724,0.001,0.08,0.103,0.052,0,0.001,0.003
TCGA-CN-6017-01A,HNSC,simu_bulk_2ds_ref,0.05,0.037,0.079,0.215,0.047,0.093,0.241,0.202,0.001,0.035,0.001
TCGA-CR-7369-01A,HNSC,simu_bulk_2ds_ref,0.001,0.021,0.01,0.734,0.008,0.049,0.096,0.071,0.002,0.001,0.005
TCGA-P3-A6T8-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.692,0,0.043,0.237,0.016,0,0.004,0.004
TCGA-F7-A50J-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.014,0.829,0,0.025,0.048,0.057,0,0.002,0.003
TCGA-UF-A71D-01A,HNSC,simu_bulk_2ds_ref,0.006,0.011,0,0.917,0,0.035,0.006,0.021,0,0,0.003
TCGA-CV-A464-01A,HNSC,simu_bulk_2ds_ref,0,0.025,0.002,0.564,0.006,0.071,0.258,0.063,0,0.01,0
TCGA-CV-A6JD-01A,HNSC,simu_bulk_2ds_ref,0,0.01,0.02,0.748,0.001,0.002,0.068,0.148,0,0.002,0
TCGA-CQ-7071-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0.014,0.709,0,0.032,0.084,0.145,0,0.002,0
TCGA-UF-A7J9-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0,0.609,0,0.038,0.254,0.09,0,0.006,0.001
TCGA-CQ-6225-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.965,0,0.012,0,0.023,0,0,0
TCGA-MT-A51X-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.805,0.002,0.038,0.089,0.046,0,0.004,0.002
TCGA-BA-5152-01A,HNSC,simu_bulk_2ds_ref,0,0.04,0.014,0.711,0.004,0.039,0.03,0.159,0,0.003,0
TCGA-CQ-7065-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.935,0,0.015,0.05,0,0,0,0
TCGA-CQ-6229-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0.018,0.751,0,0.04,0.092,0.088,0,0.002,0.001
TCGA-CN-A63U-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0,0.954,0.003,0.025,0.012,0,0,0,0.001
TCGA-CV-6940-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0,0.818,0.004,0.012,0.092,0.064,0,0.002,0
TCGA-H7-8501-01A,HNSC,simu_bulk_2ds_ref,0,0.025,0.085,0.611,0,0.03,0.042,0.206,0,0.001,0
TCGA-QK-A8ZB-01A,HNSC,simu_bulk_2ds_ref,0.017,0.009,0,0.748,0,0.038,0.113,0.068,0,0.001,0.005
TCGA-CR-6481-01A,HNSC,simu_bulk_2ds_ref,0.112,0.078,0.066,0.325,0.028,0.052,0.051,0.275,0,0.013,0
TCGA-BB-8596-01A,HNSC,simu_bulk_2ds_ref,0,0.023,0,0.448,0.005,0.08,0.265,0.171,0.001,0.006,0.001
TCGA-CR-6493-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0,0.939,0,0.017,0.009,0.029,0,0.001,0
TCGA-CV-A6JT-01A,HNSC,simu_bulk_2ds_ref,0,0.023,0.002,0.71,0.008,0.014,0.116,0.113,0,0.014,0
TCGA-BA-A4IF-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.906,0.003,0.021,0.043,0.017,0,0.003,0.002
TCGA-CN-4725-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.852,0,0.039,0.063,0.042,0,0,0.002
TCGA-WA-A7H4-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0,0.711,0.005,0.039,0.16,0.059,0,0.008,0.002
TCGA-CV-5441-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0.008,0.811,0.006,0.027,0.086,0.039,0,0.002,0.002
TCGA-CR-7367-01A,HNSC,simu_bulk_2ds_ref,0.01,0.026,0.013,0.578,0.006,0.047,0.202,0.11,0.001,0.001,0.007
TCGA-CR-5249-01A,HNSC,simu_bulk_2ds_ref,0.121,0.073,0.035,0.533,0.017,0.044,0.049,0.109,0.001,0.016,0.002
TCGA-F7-A620-01A,HNSC,simu_bulk_2ds_ref,0.01,0.018,0.041,0.73,0.014,0.023,0.036,0.11,0,0.019,0
TCGA-QK-A8Z9-01B,HNSC,simu_bulk_2ds_ref,0,0.026,0.004,0.532,0.006,0.025,0.279,0.119,0,0.011,0
TCGA-IQ-7630-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0.002,0.823,0,0.01,0.062,0.095,0,0.001,0
TCGA-CN-4738-01A,HNSC,simu_bulk_2ds_ref,0,0.029,0.014,0.734,0.007,0.037,0.038,0.122,0.002,0.008,0.008
TCGA-CQ-5331-01A,HNSC,simu_bulk_2ds_ref,0.002,0.032,0.04,0.587,0.033,0.061,0.037,0.204,0,0.004,0
TCGA-CV-7418-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0.009,0.824,0.006,0.035,0.028,0.074,0.001,0.005,0.001
TCGA-D6-6516-01A,HNSC,simu_bulk_2ds_ref,0,0.02,0.032,0.746,0.003,0.044,0.024,0.114,0,0.014,0.003
TCGA-CV-5444-01A,HNSC,simu_bulk_2ds_ref,0,0.023,0.009,0.404,0.007,0.047,0.309,0.182,0,0.02,0
TCGA-CN-A6V7-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0.013,0.925,0,0.006,0,0.046,0,0.001,0
TCGA-CV-A45Z-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.008,0.791,0.003,0.03,0.036,0.098,0,0.012,0
TCGA-CR-6478-01A,HNSC,simu_bulk_2ds_ref,0.017,0.04,0.047,0.544,0.02,0.037,0.057,0.232,0,0.003,0.002
TCGA-CN-6021-01A,HNSC,simu_bulk_2ds_ref,0.017,0.013,0.004,0.784,0.011,0.075,0.032,0.056,0,0.001,0.006
TCGA-CQ-6224-01A,HNSC,simu_bulk_2ds_ref,0,0.02,0,0.517,0.013,0.038,0.278,0.131,0,0.003,0
TCGA-HD-7754-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0,0.684,0,0.037,0.145,0.121,0,0,0.007
TCGA-F7-A622-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0,0.933,0,0.021,0,0.041,0,0.002,0
TCGA-P3-A6T2-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0,0.869,0,0.025,0.058,0.038,0,0,0
TCGA-CR-7383-01A,HNSC,simu_bulk_2ds_ref,0.001,0.029,0.009,0.586,0.009,0.049,0.145,0.161,0,0.011,0
TCGA-CN-A49A-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.762,0.001,0.035,0.181,0.018,0,0.002,0.001
TCGA-TN-A7HJ-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.898,0,0.045,0.005,0.038,0,0,0
TCGA-CN-4736-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0.041,0.468,0,0.047,0.172,0.25,0,0.017,0
TCGA-CN-4730-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.931,0,0.022,0.025,0.019,0,0.001,0
TCGA-CV-7433-01A,HNSC,simu_bulk_2ds_ref,0,0.032,0.046,0.476,0.003,0.042,0.171,0.221,0,0.01,0
TCGA-CV-6934-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0.028,0.336,0.005,0.089,0.352,0.16,0.001,0.014,0
TCGA-CV-6941-01A,HNSC,simu_bulk_2ds_ref,0,0.019,0,0.71,0.005,0.028,0.155,0.075,0,0.004,0.003
TCGA-RS-A6TP-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0.016,0.91,0,0.013,0,0.043,0,0.011,0
TCGA-CV-5978-01A,HNSC,simu_bulk_2ds_ref,0.001,0.011,0,0.52,0.002,0.027,0.167,0.27,0,0.003,0
TCGA-CV-5977-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.917,0,0.013,0.032,0.028,0,0.008,0
TCGA-CV-A6JU-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.85,0.002,0.029,0.054,0.054,0,0.004,0
TCGA-CV-7102-01A,HNSC,simu_bulk_2ds_ref,0,0.015,0,0.649,0,0.052,0.136,0.144,0,0.004,0
TCGA-CR-7368-01A,HNSC,simu_bulk_2ds_ref,0.003,0.029,0.014,0.74,0.005,0.039,0.04,0.11,0.001,0.014,0.005
TCGA-D6-A74Q-01A,HNSC,simu_bulk_2ds_ref,0.015,0.021,0.005,0.836,0.002,0.019,0.054,0.026,0.003,0.016,0.004
TCGA-D6-6824-01A,HNSC,simu_bulk_2ds_ref,0.005,0.026,0.015,0.53,0.017,0.08,0.128,0.176,0.006,0.013,0.004
TCGA-CV-7440-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.867,0.002,0.04,0.038,0.042,0,0,0.002
