"","T Cells","NK","Myeloid","B Cells","Endothelial Cells","Fibroblasts","Mast Cells","Cancer Cells","V9"
"TCGA.DD.AADF.01A",0,0,0,0,0.00800831578193803,0.00287905227967329,0,0.989112631938389,0
"TCGA.G3.A7M7.01A",0,0,0,0,0.0142150009625448,0.00477369137637527,0,0.98101130766108,0
"TCGA.DD.AADQ.01A",0,0,0,0,0.0144898712347351,0.00198103101552023,0,0.983529097749745,0
"TCGA.DD.AAVX.01A",0,0,0,0,0.0239637745790411,0.0055694772325316,0,0.970466748188427,0
"TCGA.MI.A75E.01A",0,0,0,0,0.025860995019089,0.0101867826034734,0,0.962776547302381,0.00117567507505617
"TCGA.GJ.A3OU.01A",0,0,0.0974481394484823,0,0.195595270674457,0.0361622946170386,0,0.670794295260022,0
"TCGA.DD.A11B.01A",0,0,0,0,0.049056436720568,0.00654474458494965,0,0.940300979563883,0.00409783913059882
"TCGA.LG.A6GG.01A",0,0,0,0,0.0161603875711362,0.00198716266681132,0,0.981852449762052,0
"TCGA.CC.A7IJ.01A",0,0,0.195677699539307,0,0.691036934616185,0.103651670712712,0,0.00291562240318812,0.00671807272860826
"TCGA.DD.AACA.01A",0,0,0,0,0.13253487305223,0.0249414864726385,0,0.815629582737234,0.0268940577378972
"TCGA.DD.A39V.01A",0,0,0.00527285949847113,0,0.0181870713683339,0.00816364499268919,0,0.968376424140506,0
"TCGA.2Y.A9GS.01A",0,0,0,0,0.0899704860331297,0.0122303232378347,0,0.845196315639932,0.0526028750891037
"TCGA.DD.AACW.01A",0,0,0,0,0.0621113144262868,0.000426106918978256,0,0.88368904983563,0.0537735288191048
"TCGA.FV.A3R2.01A",0,0,0,0,0.0346414188637298,0.00106531516006961,0,0.964293265976201,0
"TCGA.ZP.A9CY.01A",0,0,0,0,0.0279032125654172,0.0088455595572509,0,0.963251227877332,0
"TCGA.NI.A8LF.01A",0,0,0,0,0.0848280254229696,0.0212817859024464,4.37290419304737e-06,0.892291088573285,0.00159472719710578
"TCGA.DD.AAE2.01A",0,0,0,0,0.0373674411592075,0.00399963559294486,0,0.958632923247848,0
"TCGA.5C.A9VG.01A",0,0,0,0,0.181838305709274,0.0651531293950089,0.00379984924064307,0.702304284234207,0.0469044314208676
"TCGA.KR.A7K8.01A",0,0,0.0250177616640656,0,0.0914070351556367,0.0425212961607283,0,0.841053907019569,0
"TCGA.ZP.A9CZ.01A",0,0,0.00300661492192269,0,0.0535733712851319,0.00838945472975074,0,0.92779141188397,0.00723914717922422
"TCGA.EP.A12J.01A",0,0,0,0,0.150161713024192,0.00042186196029353,0,0.849416425015514,0
"TCGA.DD.A4NV.01A",0,0,0,0,0.0385195750159976,0.0183539220329674,0,0.943126502951035,0
"TCGA.BC.A3KF.01A",0,0,0,0,0.0624613502462806,0.00251720765500848,0,0.934677990195307,0.000343451903404308
"TCGA.XR.A8TD.01A",0,0,0.0192344890706389,0,0.172429426797313,0.0259469990972644,1.31337645255552e-05,0.782375951270258,0
"TCGA.DD.A4NK.01A",0,0,0,0,0.0156010327269388,0.00676943117853863,0,0.977629536094523,0
