"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.AA.A017.01A",0.00871882918184452,0.0240821565261186,0.0427055292283264,0.00626718129007447,3.88208008945731e-09,0.0101581653788023,0.908068134512754
"TCGA.AA.3509.01A",0.00072183957877507,0.0184380520426432,0.0392163821530791,0.0177335381701603,6.2060607238546e-07,0.0135922567042584,0.910297310745012
"TCGA.D5.6920.01A",0.0571165868350995,0.0337348703377127,0.0207981750722193,0.0146233664115801,1.00849740741833e-08,0.0188466419482247,0.85488034931019
"TCGA.D5.6534.01A",1.64416252198549e-05,2.98593362873827e-07,0.478998235847219,0.114939436719507,1.00943975823138e-07,0.0147228575866018,0.391322628684114
"TCGA.A6.5661.01B",0.0040487698867622,0.00558157813225587,0.0121956830915557,0.00313824575121888,2.978959810993e-10,0.0113027131440434,0.963733009696268
"TCGA.AA.3496.01A",0.0292606798473448,0.0470815220672201,0.066190462704384,0.0390499638870091,1.1130201706332e-07,0.0147068842958157,0.803710375896209
"TCGA.AA.A02K.01A",0.00356193968948252,0.0190186284105122,0.0115235792349449,0.00871308910548923,3.40969515828745e-09,0.00172396709115887,0.955458793058717
"TCGA.AA.3685.01A",0.0429159306781115,0.00482074176346736,0.0550736127859801,0.0270302113945884,0.000132585171705304,0.0242632059211799,0.845763712284967
"TCGA.AA.3851.01A",0.0142535939028064,0.00758113233171224,0.0517470908320987,0.0235429183242972,1.40048510207656e-06,0.017753483118723,0.88512038100526
"TCGA.DM.A282.01A",0.000820815674614252,0.0313255742706024,0.0343309687093787,0.00472138589021042,1.46042922539428e-09,0.00896466572934802,0.919836588265417
"TCGA.AA.3543.01A",0.00697993847112567,0.00565517430044882,0.038907210861011,0.0660262617424571,0.0446453790265539,6.61075764347838e-08,0.837785969490827
"TCGA.F4.6805.01A",0.00532553377055285,0.149272519256725,0.292914929757453,0.0314445003702754,1.17835126284759e-07,0.0180053595794066,0.503037039430461
"TCGA.AA.3821.01A",1.49277647960659e-08,1.66353295114032e-09,0.0733593484430611,0.0211686007284416,0.000540068191727001,0.00177203802442108,0.903159928021052
"TCGA.F4.6460.01A",0.0268358968782707,0.238304316499999,0.104201200064484,0.00767469351993356,5.4783530694596e-09,0.0634949402064878,0.559488947352472
"TCGA.AZ.5407.01A",0.0174463865807557,0.0179479224323541,0.00829968488976577,0.0162643364576751,9.69175125212859e-08,0.0322408519128794,0.907800720809057
"TCGA.D5.6929.01A",0.160144354739858,0.0169897810599678,0.214932047090225,0.0152509688862739,9.7019779836464e-09,9.09566116087589e-08,0.592682747565086
"TCGA.AA.3984.01A",2.64977800027316e-07,1.24864920714913e-08,0.0768120904255197,0.0134532920907386,0.000664528041230375,0.0163550012861694,0.89271481069205
"TCGA.A6.5664.01A",0.0104476105294358,0.079803720043993,0.191923715440509,0.0466099194339924,5.44403695784758e-08,0.0142709590544643,0.656944021057236
"TCGA.AM.5821.01A",0.0293955154843601,5.09279211087805e-10,0.0753793056656914,0.0387681135782568,0.0116416544520602,1.8800835788033e-08,0.844815391509517
"TCGA.AA.3488.01A",0.0188273533350558,0.0417797078774925,0.00202422106393079,0.0165813713715695,8.77150889297581e-09,0.00423457904782826,0.916552758532614
"TCGA.AA.3956.01A",0.030877727350943,0.0246083667004789,0.0528476246464094,0.0102895315441664,5.42708024351914e-09,0.0119015693466451,0.869475174984277
"TCGA.G4.6298.01A",0.000572971886801933,0.03499062426834,0.0771957443921355,0.00370069875400634,6.57222678454258e-09,0.00276626921971817,0.880773684906771
"TCGA.DM.A28F.01A",0.0165813563740932,0.0119354076562466,0.0236613386860772,0.00492488121986192,3.62772705049885e-07,0.0110740209437447,0.931822632347271
"TCGA.AA.A00J.01A",2.22547449508342e-08,0.0170405655301624,0.0515029810313534,0.0186439719254114,5.08729796652256e-06,1.6433641132358e-07,0.91280720762395
"TCGA.A6.6142.01A",1.68426772417117e-08,0.0302611695794179,0.224555262480047,0.0170005237210847,3.28946400470555e-07,3.24412048094638e-07,0.728182374018324
"TCGA.G4.6304.01A",6.19933177807025e-09,0.015114539260453,0.00614054392613151,0.0195882933398507,0.00331377824692936,0.00415801874686258,0.951684820280441
"TCGA.A6.2674.01A.1",2.60905639312089e-06,5.40397640388338e-05,0.29298367281594,0.0399536022030927,1.61753102514793e-09,8.73606025718996e-07,0.667005200936978
"TCGA.G4.6310.01A",0.0146974533460303,0.656492465841034,0.328802526509257,4.46664747008069e-08,2.37620272597122e-09,1.63711179510348e-06,5.87014920582387e-06
"TCGA.AA.3866.01A",6.05454111589327e-06,0.00910025502135535,0.154561618775673,0.0584512574982104,1.33500538223302e-07,0.0204583473026271,0.75742233336048
"TCGA.F4.6806.01A",0.03534438584173,0.0281193910714428,0.0551531709046124,0.00701098447636241,9.10760950431505e-09,0.0119488137597864,0.862423244838456
