	0
1604	EID3
1605	EIF1B
1606	EIF2A
1607	EIF2AK3
1608	EIF2S2
1609	EIF2S3
1610	EIF3A
1611	EIF3B
1612	EIF3D
1613	EIF3E
1614	EIF3G
1615	EIF3H
1616	EIF3K
1617	EIF3L
1618	EIF4A2
1619	EIF4A3
1620	EIF4B
1621	EIF4E3
1622	EIF4EBP1
1623	EIF4EBP2
1624	EIF5A
1625	EIF5A2
1626	ELF1
1627	ELF3
1628	ELK3
1629	ELK4
1630	ELL
1631	ELL2
1632	ELMO1
1633	ELOF1
1634	ELOVL4
1635	ELOVL5
1636	ELOVL6
1637	ELOVL7
1638	ELP6
1639	EMB
1640	EMC10
1641	EMC2
1642	EMC9
1643	EME1
1644	EMID1
1645	EMILIN1
1646	EMILIN2
1647	EML2
1648	EML3
1649	EML4
1650	EML6
1651	EMP1
1652	EMP2
1653	EMP3
1654	ENAH
1655	ENC1
1656	ENDOD1
1657	ENDOG
1658	ENG
1659	ENO1
1660	ENO2
1661	ENO3
1662	ENOSF1
1663	ENOX1
1664	ENPEP
1665	ENPP1
1666	ENPP2
1667	ENPP3
1668	ENPP4
1669	ENPP5
1670	ENPP6
1671	ENSA
1672	ENTPD1
1673	ENTPD2
1674	ENTPD4
1675	EOGT
1676	EOMES
1677	EP300
1678	EP400NL
1679	EPAS1
1680	EPB41
1681	EPB41L1
1682	EPB41L2
1683	EPB41L3
1684	EPB41L4A
1685	EPCAM
1686	EPDR1
