"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.DW.5560.01A",0,0,0,0.615184415399081,0.200056185757349,0,0,0,0,0.184759398843569
"TCGA.2Z.A9J8.01A",0,0.0245105696840235,0,0.757696744568004,0.108113287799352,0,0,0,0,0.109679397948621
"TCGA.EV.5901.01A",0,0.0332473911039883,0,0.364203795703468,0.299269827416575,0,0,0,0,0.303278985775968
"TCGA.A4.A7UZ.01A",0,0.0407716014850037,0,0.576796896167067,0.1793272754039,0,0,0,0,0.20310422694403
"TCGA.SX.A71U.01A",0,0.0254296209217084,0,0.654668244443898,0.149285301613356,0,0,0,0,0.170616833021037
"TCGA.IA.A83S.01A",0,0.100855494555649,0,0.689468042916702,0.0867687671260242,0,0,0,0,0.122907695401624
"TCGA.B9.A5W8.01A",0,0.220893047120076,0,0.45783306529841,0.139666240565924,0,0,0,0,0.18160764701559
"TCGA.BQ.7055.01A",0,0.0345387936772016,0,0.460012185906391,0.321384259943275,0,0,0,0,0.184064760473132
"TCGA.BQ.7061.01A",0,0.0206599773902208,0,0.64236616548379,0.160241685288468,0,0,0,0,0.176732171837521
"TCGA.GL.A59T.01A",0,0.0680489652819657,0,0.692833880107695,0.108576104111884,0,0,0,0,0.130541050498456
"TCGA.B9.5155.01A",0,0,0,0.578781946902808,0.233300869189611,0,0,0,0,0.187917183907581
"TCGA.BQ.5876.01A",0,0,0,0.698440856337955,0.161899079854729,0,0,0,0,0.139660063807316
"TCGA.WN.AB4C.01A",0,0.187787812611327,0,0.677593658362964,0.0636871595530043,0,0,0,0,0.0709313694727042
"TCGA.5P.A9KA.01A",0,0.0260328805406728,0,0.534303942392756,0.21285921193312,0,0,0.00210287970825782,0,0.224701085425193
"TCGA.A4.A5Y1.01A",0,0.0456078711363723,0,0.549066886522098,0.173161882158185,0,0,0,0,0.232163360183344
