"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.DD.AAVS.01A",0,0,0.0802659203523298,0,0.480267410582256,0.439466669065414,0
"TCGA.CC.A7IH.01A",0,0,0.00811427668924195,0,0.689743748624845,0.302141974685913,0
"TCGA.FV.A3I0.01A",0,0,0.00236918234128374,0,0.492747805771393,0.355972031213701,0.148910980673622
"TCGA.MI.A75H.01A",0,0,0.346700764058296,0,0.350218709078371,0.303080526863333,0
"TCGA.CC.A9FV.01A",0,0,0.347273590154152,0,0.611789142215006,0.0218341215869504,0.0191031460438917
"TCGA.BC.A217.01A",0,0.00227914225078697,0.1645456132455,0,0.368499296754077,0.464675947749636,0
"TCGA.DD.AAD5.01A",0,0,0.390891609390032,0,0.183452849454703,0.425655541155265,0
"TCGA.2Y.A9H0.01A",0,0,0.374485238206246,0,0.272059105198728,0.353455656595026,0
"TCGA.DD.AAD8.01A",0,0,0.153045851709538,0,0.4642003698659,0.326503026880382,0.05625075154418
"TCGA.CC.A3MB.01A",0,0,0.0281624346156344,0,0.520940510241628,0.450897055142737,0
"TCGA.DD.A4NE.01A",0,0,0.0597890516396328,0,0.572014976573279,0.33239925042537,0.0357967213617188
"TCGA.5R.AAAM.01A",0,0,0.234710672223814,0,0.528674392792715,0.0573327450435596,0.179282189939912
"TCGA.DD.AADY.01A",0,0,0,0,0.683477380342239,0.311808629383179,0.0047139902745826
"TCGA.MI.A75I.01A",0,0,0.229437578188256,0,0.30431106770899,0.466251354102754,0
"TCGA.G3.A3CI.01A",0,0,0.194103031189791,0,0.554720320019013,0.247896648871612,0.00327999991958427
"TCGA.CC.A5UC.01A",0,0,0.0519052694416642,0,0.508607672945912,0.388353949900139,0.051133107712285
"TCGA.FV.A496.01A",0,0,0.127332018211267,0,0.410067693939696,0.462600287849037,0
"TCGA.DD.AACK.01A",0,0,0.176107901698389,0,0.536059355679818,0.287832742621793,0
"TCGA.XR.A8TE.01A",0,0,0.125874782340992,0,0.640846590215702,0.155435473786085,0.077843153657221
